6,200,2,,,,,,,,,,,
,,,,,,,,,,,,,
Sample,Population,Olur10,Olur10,Olur11,Olur11,Olur12,Olur12,Olur13,Olur13,Olur15,Olur15,Olur19,Olur19
83-H,NFH-2016,280,280,162,162,254,256,277,277,197,197,249,249
84-H,NFH-2016,240,288,0,0,262,266,245,249,165,169,217,221
85-H,NFH-2016,292,304,162,168,262,266,277,297,197,217,249,269
86-H,NFH-2016,232,282,162,162,254,268,269,293,189,213,241,265
87-H,NFH-2016,238,240,144,162,178,268,285,297,205,217,257,269
88-H,NFH-2016,238,310,140,162,178,266,249,293,169,213,221,265
89-H,NFH-2016,286,292,144,144,178,266,273,285,193,205,245,257
90-H,NFH-2016,274,286,144,162,178,254,257,293,177,213,229,265
91-H,NFH-2016,226,270,144,144,178,260,277,281,197,201,249,253
92-H,NFH-2016,220,240,162,162,178,268,241,285,161,205,213,257
93-H,NFH-2016,0,0,162,171,178,254,249,261,169,181,221,233
94-H,NFH-2016,214,268,162,171,178,254,265,281,185,201,237,253
95-H,NFH-2016,214,238,144,150,250,254,237,257,157,177,209,229
96-H,NFH-2016,228,234,144,162,182,266,245,293,165,213,217,265
97-H,NFH-2016,246,298,0,0,260,266,241,249,161,169,213,221
98-H,NFH-2016,240,304,0,0,262,268,277,281,197,201,249,253
99-H,NFH-2016,238,288,0,0,262,266,249,281,169,201,221,253
100-H,NFH-2016,214,238,0,0,178,182,237,289,157,209,209,261
